"23,902",Nesher
"47,863",Netivot
"235,191",Netanya
"4,512",Sajur
"4,058",Savyon
"2,715",Sulam
"33,376",Sakhnin
"3,592",Sallama
"2,321",Sa'Wa
"2,803",Ghajar
"3,536",Uzeir
"7,770",Omer
"5,840",Eilabun
"8,948",Ilut
"14,004",Ein Mahel
"3,775",Ein Naqquba
"2,203",Ein Qiniyye
"51,862",Akko
"4,807",Eli
"4,790",Ale Zahav
"4,828",Immanu'el
"12,919",Isifya
"62,218",Afula
"3,030",Ofra
"27,267",Arrabe
"28,695",Arad
"26,195",Ar'ara
"20,448",Ar'ara-BaNegev
"11,073",Atlit
"2,123",Pedu'el
"13,783",Fureidis
"2,202",Pesagot
"3,259",Fassuta
"6,154",Peqi'in (Buqei'a)
"45,146",Pardes Hanna-Karkur
"7,483",Pardesiyya
"255,899",Petah Tiqwa
"2,595",Zufim
"12,160",Zur Hadassa
"7,090",Zur Yizhaq
"3,223",Zur Moshe
"38,300",Zefat
"4,621",Qedumim
"23,316",Qadima- Zoran
"6,038",Qesaryya
"24,247",Qalansawe
"2,948",Qazir
"2,916",Qasr A-Sir
"7,927",Qazrin
"43,428",Qiryat Ono
"7,543",Qiryat Arba
"61,463",Qiryat Atta
"45,066",Qiryat Bialik
"65,610",Qiryat Gat
"19,294",Qiryat Tiv'on
"42,000",Qiryat Yam
"6,599",Qiryat Ye'arim
"48,498",Qiryat Motzkin
"25,844",Qiryat Mal'akhi
"11,017",Qiryat Eqron
"22,457",Qiryat Shemona
"9,911",Qarne Shomeron
"7,772",Rame
"74,399",Rosh HaAyin
"3,303",Rosh Pinna
"261,602",Rishon LeZiyyon
"3,032",Revava
"79,486",Rahat
"2,224",Rumat Heib
"151,800",Rehovot
"19,490",Reine
"14,339",Rekhasim
"79,312",Ramla
"173,050",Ramat Gan
"48,225",Ramat HaSharon
"8,172",Ramat Yishay
"81,295",Ra'annana
"6,390",Shibli-Umm Al-Ghanam
"12,615",Segev-Shalom
"33,529",Sederot
"23,355",Shoham
"3,058",Sheikh Dannun
"5,232",Shilo
"7,520",Shelomi
"2,436",Shimshit
"7,505",Sha'ab
"8,896",Sha'ar Shomron
"43,704",Shefar'am
"2,186",Shetulim
"476,586",Tel Aviv-Yafo
"14,694",Tel Mond
"22,927",Tel Sheva
"2,231",Tifrah
"4,410",Teqoa
,Published on 14.05.2023
